id,ConceptA,ConceptB_Pre,prerequisite,Substituido
1,Network_security,Computer_network,1,N
2,Network_security,Algorithm,1,N
3,Software_engineering,Algorithm,1,N
4,Information_retrieval,Data_structure,1,N
5,Computer_vision,Algorithm,1,N
6,Distributed_object,Object-oriented_design,1,N
7,Information_management,Artificial_intelligence,1,N
8,Object-oriented_programming,Data_structure,1,N
9,Software_engineering,Database,1,N
10,Information_management,Information_retrieval,1,N
11,Computer_security,Computer_network,1,N
12,Information_management,Data_mining,1,N
13,Algorithm,Discrete_mathematics,1,N
14,Combinatorial_optimization,Algorithm,1,N
15,System_programming,Microarchitecture,1,N
16,Translator_(computing),Discrete_mathematics,1,N
17,Natural_language_processing,Algorithm,1,N
18,Parallel_computing,Algorithm,1,S
19,Software_quality_management,Software_engineering,1,N
20,Software_engineering,Data_structure,1,N
21,Distributed_computing,Operating_system,1,N
22,Programming_language,Algorithm,1,N
23,System_programming,Data_structure,1,N
24,Software_project_management,Software_engineering,1,N
25,Computer_architecture,Microarchitecture,1,N
26,Software_development,Software_engineering,1,N
27,System_programming,Assembly_language,1,N
28,Mobile_application_development,System_programming,1,N
29,Social_network_analysis,Algorithm,1,N
30,Algorithm_design,Algorithm,1,N
31,Theory_of_computation,Algorithm,1,N
32,Artificial_intelligence,Algorithm,1,N
33,Database,Algorithm,1,N
34,Computer_security,Operating_system,1,N
35,Parallel_computing,Operating_system,1,S
36,Computer-aided_software_engineering,Software_engineering,1,N
37,Parallel_computing,System_programming,1,N
38,Data_mining,Data_structure,1,N
39,Distributed_computing,Algorithm,1,N
40,Translator_(computing),Algorithm,1,N
41,Computer_graphics,Data_structure,1,N
42,Wireless_network,Assembly_language,1,N
43,Compiler_construction,Programming_language,1,N
44,Test_automation,Software_engineering,1,N
45,Knowledge_management,Artificial_intelligence,1,N
46,Computer_network,Operating_system,1,N
47,Wireless_network,Microarchitecture,1,N
48,Database,Data_structure,1,N
49,Network_service,Computer_network,1,N
50,Object-oriented_analysis_and_design,Software_engineering,1,N
51,Data_warehouse,Database,1,N
52,Data_integration,Database,1,N
53,Cloud_computing,Computer_network,1,N
54,Software_metric,Software_engineering,1,N
55,Game_theory,Theory_of_computation,1,N
56,Information_retrieval,Algorithm,1,N
57,Software_architecture,Software_engineering,1,N
58,Computer_architecture,Assembly_language,1,N
59,Software_analytics,Software_engineering,1,N
60,Artificial_intelligence,Data_structure,1,N
61,Modeling_language,Object-oriented_programming,1,N
62,Algorithm,Data_structure,1,N
63,Knowledge_management,Information_retrieval,1,N
64,Operating_system,System_programming,1,N
65,Object-oriented_design,Data_structure,1,N
66,Analysis_of_algorithms,Algorithm,1,N
67,Cloud_computing,Operating_system,1,N
