id,ConceptA,ConceptB_Pre,prerequisite
1,Algebraic_number_theory,Abstract_algebra,1
2,Analytical_mechanics,Ordinary_differential_equation,1
3,Mathematical_model,Fourier_series,1
4,Linear_programming,Multivariable_calculus,1
5,Numerical_analysis,Matrix_(mathematics),1
6,Vector_calculus,Calculus,1
7,Mathematical_statistics,Probability_theory,1
8,Fourier_series,Ordinary_differential_equation,1
9,Analytical_mechanics,Partial_differential_equation,1
10,Analytic_geometry,Algebra,1
11,Differentiable_manifold,Topological_space,1
12,Fourier_analysis,Fourier_series,1
13,Finite_element_method,Complex_analysis,1
14,Real_analysis,Mathematical_analysis,1
15,Wavelet,Partial_differential_equation,1
16,Ordinary_differential_equation,Fourier_series,1
17,Ordinary_differential_equation,Calculus,1
18,Mathematical_analysis,Discrete_mathematics,1
19,Ordinary_differential_equation,Vector_calculus,1
20,Topological_space,Topology,1
21,Wavelet,Real_analysis,1
22,Von_Neumann_algebra,Functional_analysis,1
23,Linear_programming,Matrix_(mathematics),1
24,Linear_programming,Vector_calculus,1
25,Differential_equation,Calculus,1
26,Numerical_linear_algebra,Matrix_(mathematics),1
27,Partial_differential_equation,Calculus,1
28,Commutative_algebra,Abstract_algebra,1
29,Approximation_theory,Numerical_analysis,1
30,Fourier_analysis,Partial_differential_equation,1
31,Complex_analysis,Real_analysis,1
32,Computability_theory,Mathematical_logic,1
33,Lie_theory,Differentiable_manifold,1
34,Numerical_linear_algebra,Numerical_analysis,1
35,Orthogonal_polynomials,Partial_differential_equation,1
36,Orthogonal_polynomials,Ordinary_differential_equation,1
37,Numerical_analysis,Vector_calculus,1
38,Statistics,Trigonometry,1
39,Matrix_(mathematics),Analytic_geometry,1
40,Numerical_linear_algebra,Linear_algebra,1
41,Fourier_series,Partial_differential_equation,1
42,Complex_analysis,Vector_calculus,1
43,Complex_analysis,Mathematical_analysis,1
44,Trigonometry,Algebra,1
45,Metric_(mathematics),Topology,1
46,Differential_topology,Differentiable_manifold,1
47,Analytic_geometry,Trigonometry,1
48,Number_theory,Complex_analysis,1
49,Matrix_(mathematics),Calculus,1
50,Multivariable_calculus,Calculus,1
51,C*-algebra,Functional_analysis,1
52,Probability_theory,Mathematical_analysis,1
53,Differential_geometry,Differentiable_manifold,1
54,Wavelet,Fourier_series,1
55,Fourier_series,Vector_calculus,1
56,Discrete_mathematics,Calculus,1
57,Mathematical_logic,Abstract_algebra,1
58,Analytic_number_theory,Complex_analysis,1
59,Mathematical_statistics,Calculus,1
60,Probability_theory,Calculus,1
61,Stochastic_process,Probability_theory,1
62,Calculus,Analytic_geometry,1
63,Differential_topology,Multivariable_calculus,1
64,Von_Neumann_algebra,Group_theory,1
65,Numerical_analysis,Calculus,1
66,Von_Neumann_algebra,Linear_algebra,1
67,Algebraic_geometry,Field_(mathematics),1
68,Lie_theory,Algebra,1
69,Multiscale_modeling,Linear_algebra,1
70,Commutative_algebra,Linear_algebra,1
