id,ConceptA,ConceptB_Pre,prerequisite,Substituido,
1,Knowledge_representation_and_reasoning,Algorithm_design,1,N,
2,Natural_language_processing,Natural_language,1,N,
3,Algorithm,Combinatorics,1,N,
4,System_programming,Unix,1,N,
5,Random_graph,Combinatorics,1,N,
6,Mathematical_induction,Mathematical_proof,1,N,
7,Computer_vision,Image_processing,1,N,
8,Randomness,Mathematics,1,N,
9,Computer_science,Number_theory,1,N,
10,Database,Data_(computing),1,N,
11,Machine_learning,Graph_theory,1,N,
12,Type_system,Programming_language,1,N,
13,Variable_(computer_science),Programming_language,1,N,
14,Computer_programming,Logic,1,N,
15,Distributed_computing,Operating_system,1,N,
16,Monte_Carlo_method,Computation,1,N,
17,First-order_logic,Recursion,1,N,
18,Lexical_analysis,Formal_grammar,1,N,
19,Algorithm,Mathematics,1,N,
20,Shortest_path_problem,NP-completeness,1,N,
21,Probability_theory,Algebra,1,N,
22,System_programming,Computer_programming,1,N,
23,Graphical_user_interface,Computer,1,N,
24,Profiling_(computer_programming),Algorithm,1,N,
25,Complexity_class,Algorithm,1,N,
26,Computer_graphics,Geometry,1,N,
27,Relational_database,Computer_programming,1,N,
28,Software_development,Software_design,1,N,
29,Geometric_modeling,Computational_geometry,1,N,
30,Computational_complexity_theory,Complexity,1,N,
31,Statistical_inference,Data,1,N,
32,Martingale_(probability_theory),Markov_chain,1,N,
33,Arithmetic_logic_unit,Digital_electronics,1,N,
34,Data_mining,Artificial_intelligence,1,N,
35,Divide_and_conquer_algorithms,Algorithm_design,1,N,
36,Unix,Computer,1,N,
37,Robotics,Robot,1,N,
38,Computer_security,Mathematics,1,N,
39,Cache_coherence,Shared_memory,1,N,
40,Parsing,Finite-state_machine,1,N,
41,Malware,Authentication,1,N,
42,Firewall_(computing),Information_assurance,1,N,
43,Relational_model,Database,1,N,
44,Compiler,Computer_architecture,1,N,
45,Atomicity_(database_systems),Database,1,N,
46,Bioinformatics,Computer_programming,1,N,
47,Machine_learning,Markov_chain,1,N,
48,Algebra,Mathematics,1,N,
49,B-tree,Data_structure,1,N,
50,PageRank,Expected_value,1,N,
51,Computer_network,Computer_science,1,N,
52,Concurrency_(computer_science),Operating_system,1,N,
53,Algorithm,Iterative_method,1,N,
54,Multi-core_processor,Thread_(computing),1,N,
55,Software_engineering,Computer_programming,1,N,
56,Large_deviations_theory,Probability_theory,1,N,
57,Control_flow,Computer,1,N,
58,Monte_Carlo_method,Algorithm,1,N,
59,Human–computer_interaction,Interactivity,1,N,
60,Programming_paradigm,Computer_science,1,N,
61,Computer_programming,Computer_science,1,N,
62,Computer_graphics,Computer_science,1,N,
63,Computational_geometry,Computer_science,1,N,
64,Geometric_modeling,Algorithm,1,N,
65,Computer_vision,Geometry,1,N,
66,Geometry,Matrix_(mathematics),1,N,
67,Visualization_(graphics),Computer_graphics,1,N,
68,Profiling_(computer_programming),Computer_programming,1,N,
69,Graphical_model,Random_variable,1,N,
70,Algorithm,Logic,1,N,
71,String_(computer_science),Computer_programming,1,N,
72,Relational_database,Relational_model,1,N,
73,Query_language,Computer_programming,1,N,
74,Machine_learning,Computational_complexity_theory,1,N,
75,Matrix_(mathematics),Mathematics,1,N,
76,Theory_of_computation,Computer_science,1,N,
77,Object-oriented_programming,High-level_programming_language,1,N,
78,Database_index,Computer_programming,1,N,
79,Computational_chemistry,Computer_science,1,N,
80,Machine_learning,Statistical_inference,1,N,
81,Suffix_tree,String_searching_algorithm,1,N,
82,3D_modeling,Algorithm,1,N,
83,Analysis_of_algorithms,Probability_theory,1,N,
84,Programming_language,Data_structure,1,N,
85,Combinatorics,Finite_set,1,N,
86,Fourier_analysis,Polynomial,1,N,
87,Vector_processor,Parallel_computing,1,N,
88,Mobile_device,Computer,1,N,
89,Newton's_method,Approximation,1,N,
90,Computational_chemistry,Algorithm,1,N,
91,Symbol_table,Compiler,1,N,
92,Formal_language,Logic,1,N,
93,Document_classification,Machine_learning,1,N,
94,Cryptography,Computer_science,1,N,
95,Reinforcement_learning,Machine_learning,1,N,
96,Logic,Foundations_of_mathematics,1,N,
97,Partial_differential_equation,Mathematics,1,N,
98,Dynamic_programming,Algorithm,1,N,
99,Knowledge_representation_and_reasoning,Mathematics,1,N,
100,Stochastic_process,Continuous_function,1,N,
101,Machine_learning,Computational_science,1,N,
102,Haskell_(programming_language),Computer_programming,1,N,
103,Abstraction_(computer_science),Computer_science,1,N,
104,Rendering_(computer_graphics),Computer_graphics,1,N,
105,Software_engineering,Computational_complexity_theory,1,N,
106,Inequality_(mathematics),Mathematics,1,N,
107,Central_processing_unit,Computer_architecture,1,N,
108,Programming_paradigm,Programming_language,1,N,
